epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1433.2,2.52132,3.8983,2.10767,0.85766,0.33333,0.43538,0.16941,2.15852,2.90186,1.77155,6.668e-05,6.668e-05,6.668e-05
2,2385.15,2.1252,1.99882,1.58173,0.80919,0.63333,0.78658,0.35253,1.8811,5.0049,1.51419,0.000148545,0.000148545,0.000148545
